bid_id,product_id,user_id,bid_price,bid_date
1,2,17,53216254.95,2024-01-05 06:07:10.541838
2,26,10,69842071.9,2024-08-02 00:10:40.866595
3,33,10,69271692.33,2024-05-31 02:35:11.295618
4,19,12,186263427.46,2024-07-01 23:21:19.715017
5,48,9,153245732.34,2024-07-12 22:33:28.231075
6,8,4,169732672.79,2024-02-09 22:53:08.395636
7,18,11,171518633.07,2024-04-18 18:56:33.340604
8,33,13,214524844.11,2024-07-30 04:49:19.469090
9,44,18,137062532.91,2024-02-05 19:24:18.654742
10,37,17,272614785.45,2024-01-22 06:37:44.723315
11,20,10,170234678.67,2024-01-28 11:46:48.385734
12,37,12,151834246.36,2024-02-05 20:44:42.342143
13,11,19,266004387.75,2024-04-23 14:45:47.763928
14,10,12,145658002.0,2024-04-19 18:52:12.737507
15,8,6,155441362.19,2024-05-21 08:43:22.760757
16,1,11,103446458.4,2024-07-14 20:17:44.144100
17,10,2,52071913.83,2024-07-24 00:05:31.804811
18,30,18,229463883.18,2024-09-02 04:38:19.615260
19,14,3,224627185.18,2024-03-29 01:26:40.927939
20,26,2,97205069.88,2024-03-14 10:19:22.035272
21,38,13,277368693.15,2024-03-09 10:22:03.391611
22,22,7,117032764.41,2024-05-26 13:35:26.929727
23,37,19,249777219.87,2024-06-07 08:34:29.753663
24,42,9,65895474.79,2024-03-17 12:26:26.641862
25,41,6,174576489.92,2024-01-18 16:00:44.690812
26,22,12,219746524.42,2024-02-06 19:07:33.163869
27,8,20,184411497.19,2024-08-02 01:34:02.461491
28,20,12,209602763.76,2024-01-23 00:34:29.138087
29,7,17,210792547.52,2024-04-22 20:05:29.078939
30,36,6,239823873.74,2024-06-02 22:04:09.606749
31,30,12,106408812.1,2024-08-17 02:36:01.884443
32,4,17,183363156.0,2024-06-17 04:58:59.531506
33,22,2,264753316.98,2024-06-07 19:57:50.167656
34,38,19,56740018.61,2024-07-25 12:06:51.714704
35,14,5,273435714.26,2024-03-27 16:08:02.222704
36,29,5,166114020.85,2024-03-19 17:07:15.462768
37,9,16,292277485.74,2024-01-16 18:50:40.520911
38,7,1,296112396.85,2024-04-23 04:49:34.246930
39,9,2,160294643.44,2024-08-11 08:22:36.634750
40,49,4,185717665.34,2024-06-22 07:07:14.818514
41,11,17,82673958.75,2024-03-24 15:39:26.714430
42,37,10,266792843.65,2024-04-07 04:40:01.167573
43,6,11,256715296.57,2024-08-28 21:01:42.785160
44,34,16,192647491.67,2024-05-11 15:13:53.362954
45,31,12,264212540.59,2024-02-08 09:12:17.606059
46,20,3,113582216.87,2024-06-05 15:41:03.059454
47,29,14,220276413.43,2024-04-10 06:50:49.888614
48,11,6,297354513.63,2024-05-31 19:54:04.985506
49,27,1,258901567.94,2024-01-24 10:56:12.169784
50,38,16,118690100.79,2024-06-09 21:20:13.398979
