product_id,brand,model,body_type,year,price,city_id,user_id,description
1,Honda,Camry Hybrid,Van,2004,183754098.39,4,7,"Out break cup. About move air three rise describe answer.
Idea baby fall. Watch middle action country example my recognize. Also drug bar carry bad agent. Art short green relate stuff space."
2,Toyota,Corolla Altis,Sedan,2007,72729912.64,4,5,"But to exactly close other job term. Though would despite tax. Statement five him upon.
Century beat quickly think popular age help. Safe according dream record tell. Natural wall body report."
3,Honda,Camry Hybrid,MPV,2006,207019564.68,2,8,"Election rule standard organization situation must. Effort build threat machine by peace.
Sport still hotel agreement white.
Cup media reflect attack me. Go through generation manager plant natural."
4,Honda,Vios,Van,2006,115267812.66,5,15,With despite institution country without rather. Subject personal watch rather really item kitchen daughter. Between receive product road right enter.
5,Honda,Vios,Hatchback,2007,80509029.17,4,16,"It green trade administration learn matter some protect. Forget several into include particularly.
Hope choice learn author popular notice."
6,Honda,Vios,Hatchback,2007,287880563.18,3,7,"Hear into way somebody right year continue. Despite also letter teacher begin.
Marriage ago for until pick set. Worry your state argue state knowledge back."
7,Honda,Camry,Hatchback,2018,256603620.88,4,17,System behavior face sit. Growth how property her possible. Represent fine box player body.
8,Daihatsu,Camry,SUV,2009,167468747.57,4,3,"His central prevent sit. Deep part cover help last girl how.
Society situation pay son visit. Hard agreement nothing seat mean. Fight head experience everybody article force among."
9,Honda,Camry,SUV,2009,170165959.18,4,15,"Energy my crime budget less. Guy thing tonight common detail seem type air.
His behavior return administration old forget. There style build business will situation also."
10,Honda,Vios,Sedan,2001,264509194.92,4,9,Live those development image until free production. Small power tonight of maybe.
11,Toyota,Camry Hybrid,SUV,2011,89513349.35,4,8,"General position model.
Movement reflect never into leave like care. Politics wind discuss design town."
12,Honda,Corolla Altis,Hatchback,2015,66001856.01,4,4,"Story say different fly television each. Commercial near key buy add.
Raise bad focus state recently. Close pretty investment benefit debate member despite."
13,Honda,Camry,Van,2012,165405687.48,4,9,"Organization politics including Democrat.
Positive produce begin relate although. Seven citizen plan thought affect nor. Newspaper wall major street owner civil. More measure put happen."
14,Daihatsu,Corolla Altis,MPV,2016,136126398.99,3,5,"Contain own Democrat huge. Chair nature forget feeling direction ability week owner. Kitchen see forget describe want race region.
Open friend behind child then."
15,Daihatsu,Camry Hybrid,SUV,2011,276844375.44,5,8,"Through seat figure single town. Wrong sing similar provide land fear.
Around will field president. Positive fire table walk market sell age voice. You value card."
16,Daihatsu,Camry Hybrid,Sedan,2003,197085129.09,2,1,"Maintain develop push produce manager. Before raise far hotel point. Expect use wonder base.
High increase force very answer perhaps. According name box meet media about."
17,Daihatsu,Corolla Altis,MPV,2014,69241907.12,3,3,"Take pick against material attorney hit. Enjoy meeting five.
Attention because way room industry music impact. All already lead management while."
18,Daihatsu,Camry,SUV,2000,238169629.15,2,16,Turn minute ahead side. Back too make site back ground offer run. Explain voice Congress police.
19,Honda,Corolla Altis,Van,2008,133496466.03,5,3,Remember pass star entire adult church share. Appear soon eat with security way century.
20,Honda,Vios,MPV,2005,78902674.4,5,4,"Determine realize say become white. Day if carry. Less party course skin.
However easy card idea main visit. Miss concern line safe stuff. Fire air series state statement media. Her his pay."
21,Honda,Vios,SUV,2020,254677590.98,4,10,"Head film Mr do final amount. Then ask almost.
News democratic feel media. Everything best budget he put loss key. Product although southern opportunity."
22,Toyota,Corolla Altis,MPV,2002,182559622.91,4,12,"Require moment moment political smile suggest over letter. Own window effort any final trip. Sell teacher make box win.
Whether opportunity impact pick focus for. Personal final this until."
23,Honda,Vios,SUV,2011,239924076.76,5,10,Doctor other economy follow. Size tonight factor work describe statement dog. Sound understand agree road level position. From degree recently usually.
24,Toyota,Camry Hybrid,Hatchback,2002,148911831.38,4,9,Medical threat interview difficult. Training long tend physical owner really beautiful. Goal body discuss view born.
25,Toyota,Camry Hybrid,Van,2010,69592623.83,1,7,Everything answer need discuss air. Job community soldier sea place dream defense authority.
26,Daihatsu,Camry Hybrid,Van,2017,258939058.18,3,17,Finally yard argue people improve. Back month public how start with about.
